"vendor","part_number","surface_index","radius_mm","thickness_mm","glass_name","glass_catalog","conic","aspheric_coeffs_json","clear_aperture_mm","surface_type","is_stop"
"EdmundOptics","12-445","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","12-445","1","26.91","14.7","N-SF5","SCHOTT","0","[{""order"":2,""value"":1.1304E-06},{""order"":3,""value"":2.028051E-10},{""order"":4,""value"":-9.363066E-13},{""order"":5,""value"":1.944793E-15},{""order"":6,""value"":-3.345788E-18},{""order"":7,""value"":2.852466E-21},{""order"":8,""value"":-9.954218E-25}]","19.5","EVENASPH","1"
"EdmundOptics","12-445","2",,"31.214622693212053",,,,,"19.5","STANDARD","0"
"EdmundOptics","12-445","3",,"0",,,,,"0.0012849366492311276","STANDARD","0"
"EdmundOptics","12-448","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","12-448","1","40.259","13.058","N-SF6","SCHOTT","0","[{""order"":2,""value"":1.478988E-07},{""order"":3,""value"":-7.467807E-11},{""order"":4,""value"":-5.681265E-14},{""order"":5,""value"":1.782653E-17}]","22.5","EVENASPH","1"
"EdmundOptics","12-448","2",,"42.76671399484637",,,,,"22.5","STANDARD","0"
"EdmundOptics","12-448","3",,"0",,,,,"0.0005957068018247469","STANDARD","0"
"EdmundOptics","13-589","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","13-589","1",,"-0.5",,,,,"1.6501992900808997","STANDARD","1"
"EdmundOptics","13-589","2","2.07416","1.95","M-BACD5N","HOYA","0","[{""order"":2,""value"":0.00138719},{""order"":3,""value"":-0.000161539},{""order"":4,""value"":-9.97047E-05},{""order"":5,""value"":-4.09408E-06}]","1.875","EVENASPH","0"
"EdmundOptics","13-589","3","-7.259229999999999","1.2",,,"0","[{""order"":2,""value"":-9.10396E-05},{""order"":3,""value"":-0.000831642},{""order"":4,""value"":2.15527E-05},{""order"":5,""value"":4.39679E-05}]","1.55","EVENASPH","0"
"EdmundOptics","13-589","4",,"1.2",,,,,"2","STANDARD","0"
"EdmundOptics","13-589","5",,"-0.002223519228677715",,,,,"2","STANDARD","0"
"EdmundOptics","13-589","6",,"0",,,,,"0.0006941618678428135","STANDARD","0"
"EdmundOptics","13-589","7",,"0",,,,,"0.0006941618678428135","STANDARD","0"
"EdmundOptics","14-374","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","14-374","1","103.35999999999996","3.2","N-BK7","SCHOTT",,,"7","STANDARD","1"
"EdmundOptics","14-374","2",,"197.8908977136951",,,,,"7","STANDARD","0"
"EdmundOptics","14-374","3",,"0",,,,,"0.011578246184579477","STANDARD","0"
"EdmundOptics","14-382","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","14-382","1","129.19999999999993","3","N-BK7","SCHOTT",,,"7","STANDARD","1"
"EdmundOptics","14-382","2",,"248.02290552151175",,,,,"7","STANDARD","0"
"EdmundOptics","14-382","3",,"0",,,,,"0.0074044305511780095","STANDARD","0"
"EdmundOptics","14-572","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","14-572","1","5.001","3","ACRYLIC","MISC","0",,"3","EVENASPH","1"
"EdmundOptics","14-572","2","-8.573","5.580355133138717",,,"0",,"3","EVENASPH","0"
"EdmundOptics","14-572","3",,"0",,,,,"0.005369936939001896","STANDARD","0"
"EdmundOptics","14-572","4",,"0",,,,,"0.005369936939001896","STANDARD","0"
"EdmundOptics","14-994","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","14-994","1","40.363","23.8","N-SF5","SCHOTT","0","[{""order"":2,""value"":5.66E-07},{""order"":3,""value"":3.32E-11},{""order"":4,""value"":-7.17E-15},{""order"":5,""value"":-4.42E-18},{""order"":6,""value"":3.1E-22}]","33.75","EVENASPH","1"
"EdmundOptics","14-994","2",,"45.772750137588645",,,,,"33.75","STANDARD","0"
"EdmundOptics","14-994","3",,"0",,,,,"1.5492124902038995E-05","STANDARD","0"
"EdmundOptics","14-997","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","14-997","1","38.76","25.4","N-BK7","SCHOTT","0","[{""order"":2,""value"":6.33E-07},{""order"":3,""value"":9.69E-11},{""order"":4,""value"":8.77E-15},{""order"":5,""value"":2.68E-18},{""order"":6,""value"":-7.2E-22}]","33.75","EVENASPH","1"
"EdmundOptics","14-997","2",,"58.25442886132568",,,,,"33.75","STANDARD","0"
"EdmundOptics","14-997","3",,"0",,,,,"2.5579768376360335E-05","STANDARD","0"
"EdmundOptics","15-000","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-000","1","58.14","16.8","N-BK7","SCHOTT","0","[{""order"":2,""value"":2.425E-07},{""order"":3,""value"":1.252E-11},{""order"":4,""value"":5.21E-16}]","33.75","EVENASPH","1"
"EdmundOptics","15-000","2",,"101.42437927305888",,,,,"33.75","STANDARD","0"
"EdmundOptics","15-000","3",,"0",,,,,"4.374519853200809E-05","STANDARD","0"
"EdmundOptics","15-003","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-003","1","53.817","31.2","N-SF5","SCHOTT","0","[{""order"":2,""value"":1.65E-07},{""order"":3,""value"":3.22E-12},{""order"":4,""value"":-1.03E-15},{""order"":5,""value"":-4.03E-19},{""order"":6,""value"":1.99E-23}]","45","EVENASPH","1"
"EdmundOptics","15-003","2",,"61.34868320633964",,,,,"45","STANDARD","0"
"EdmundOptics","15-003","3",,"0",,,,,"1.5386947652018534E-05","STANDARD","0"
"EdmundOptics","15-006","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-006","1","51.68","33.1","N-BK7","SCHOTT","0","[{""order"":2,""value"":4.05E-07},{""order"":3,""value"":2.66E-11},{""order"":4,""value"":1.48E-15},{""order"":5,""value"":1.33E-19},{""order"":6,""value"":-2.04E-23}]","45","EVENASPH","1"
"EdmundOptics","15-006","2",,"78.17802240596886",,,,,"45","STANDARD","0"
"EdmundOptics","15-006","3",,"0",,,,,"0.00012300727796343836","STANDARD","0"
"EdmundOptics","15-009","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-009","1","77.52","22","N-BK7","SCHOTT","0","[{""order"":2,""value"":3.86E-08},{""order"":3,""value"":1.245E-12}]","45","EVENASPH","1"
"EdmundOptics","15-009","2",,"135.496219049169",,,,,"45","STANDARD","0"
"EdmundOptics","15-009","3",,"0",,,,,"0.00012734492337784786","STANDARD","0"
"EdmundOptics","15-012","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-012","1","80.725","45.4","N-SF5","SCHOTT","0","[{""order"":2,""value"":6.194E-08},{""order"":3,""value"":7.803E-13},{""order"":4,""value"":-5.48E-17},{""order"":5,""value"":-9.649E-21},{""order"":6,""value"":2.242E-25}]","67.5","EVENASPH","1"
"EdmundOptics","15-012","2",,"92.85925019712145",,,,,"67.5","STANDARD","0"
"EdmundOptics","15-012","3",,"0",,,,,"7.459347230565072E-05","STANDARD","0"
"EdmundOptics","15-015","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-015","1","77.52","48.3","N-BK7","SCHOTT","0","[{""order"":2,""value"":1.0904E-07},{""order"":3,""value"":3.4382E-12},{""order"":4,""value"":8.5653E-17},{""order"":5,""value"":3.4403E-21},{""order"":6,""value"":-2.4804E-25}]","67.5","EVENASPH","1"
"EdmundOptics","15-015","2",,"118.15706617113378",,,,,"67.5","STANDARD","0"
"EdmundOptics","15-015","3",,"0",,,,,"2.0897289189747426E-05","STANDARD","0"
"EdmundOptics","15-018","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-018","1","116.28","31.8","N-BK7","SCHOTT","0","[{""order"":2,""value"":5.608E-08},{""order"":3,""value"":1.739E-13},{""order"":4,""value"":6.233E-18}]","67.5","EVENASPH","1"
"EdmundOptics","15-018","2",,"204.03546862902516",,,,,"67.5","STANDARD","0"
"EdmundOptics","15-018","3",,"0",,,,,"3.891585281223797E-05","STANDARD","0"
"EdmundOptics","15-027","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-027","1","155.04","41.6","N-BK7","SCHOTT","0","[{""order"":2,""value"":1.996E-08},{""order"":3,""value"":7.5E-14},{""order"":4,""value"":5.695E-19}]","90","EVENASPH","1"
"EdmundOptics","15-027","2",,"272.5747182088812",,,,,"90","STANDARD","0"
"EdmundOptics","15-027","3",,"0",,,,,"4.75796923069538E-05","STANDARD","0"
"EdmundOptics","15-271","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-271","1","1.4672","3","ACRYLIC","MISC","0","[{""order"":2,""value"":0.0008838},{""order"":3,""value"":0.00012442},{""order"":4,""value"":1.496E-05},{""order"":5,""value"":-1.0446E-05},{""order"":6,""value"":-3.0094E-06},{""order"":7,""value"":-6.3135E-07}]","1.5","EVENASPH","1"
"EdmundOptics","15-271","2","50","0.9686371075656707",,,,,"0.6456936517542023","STANDARD","0"
"EdmundOptics","15-271","3",,"0",,,,,"3.697785493223493E-32","STANDARD","0"
"EdmundOptics","15-272","0",,,,,,,,"Standard","0"
"EdmundOptics","15-272","1",,"0",,,,,"2.3265","Standard","1"
"EdmundOptics","15-272","2","6.858","2.1082","ACRYLIC",,,,"2.3265","Standard","0"
"EdmundOptics","15-272","3","-6.858","5.743708294358384",,,,,"2.3265","Standard","0"
"EdmundOptics","15-272","4",,"0",,,,,"0.16449742782442378","Standard","0"
"EdmundOptics","15-273","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-273","1","5.001","3","POLYCARB","MISC","0",,"3","EVENASPH","1"
"EdmundOptics","15-273","2","-8.573","4.525951687201565",,,"0",,"3","EVENASPH","0"
"EdmundOptics","15-273","3",,"0",,,,,"0.12096192141873674","STANDARD","0"
"EdmundOptics","15-273","4",,"0",,,,,"0.12096192141873674","STANDARD","0"
"EdmundOptics","15-275","0",,,,,,,,"Standard","0"
"EdmundOptics","15-275","1",,"0",,,,,"5","Standard","1"
"EdmundOptics","15-275","2","5.542427","7","ACRYLIC",,"-0.5159","[{""order"":3,""value"":-1.6283E-05},{""order"":4,""value"":-1.3072E-07},{""order"":5,""value"":-1.1319E-10},{""order"":6,""value"":1.8497E-11},{""order"":7,""value"":5.9713E-13},{""order"":8,""value"":1.5633E-14}]","6","EvenAsphere","0"
"EdmundOptics","15-275","3","50","6.994001921057569",,,,,"6","Standard","0"
"EdmundOptics","15-275","4",,"0",,,,,"0.043335244794447725","Standard","0"
"EdmundOptics","15-276","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-276","1","7.796000000000001","5","ACRYLIC","MISC","0","[{""order"":2,""value"":1.1327E-06},{""order"":3,""value"":4.8542E-11},{""order"":4,""value"":-2.1752E-10},{""order"":5,""value"":-3.6051E-12},{""order"":6,""value"":-1.7248E-14},{""order"":7,""value"":9.5497E-16}]","6","EVENASPH","1"
"EdmundOptics","15-276","2","50","14.191022848810217",,,,,"5.225525790759361","STANDARD","0"
"EdmundOptics","15-276","3",,"0",,,,,"6.783570312407505E-05","STANDARD","0"
"EdmundOptics","15-476","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-476","1","21.130000000000003","4","N-SSK8","SCHOTT",,,"5.85","STANDARD","1"
"EdmundOptics","15-476","2","-16.689999999999994","1.75","N-SF56","SCHOTT",,,"5.85","STANDARD","0"
"EdmundOptics","15-476","3","-61.73000000000006","28.832312848166428",,,,,"5.85","STANDARD","0"
"EdmundOptics","15-476","4",,"0",,,,,"0.009187299491994594","STANDARD","0"
"EdmundOptics","15-477","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","15-477","1","24.25999999999998","6.01","N-BAF10","SCHOTT",,,"8.5","STANDARD","1"
"EdmundOptics","15-477","2","-16.229999999999997","1.6","N-SF10","SCHOTT",,,"8.5","STANDARD","0"
"EdmundOptics","15-477","3","-152.99000000000004","30.736706304534675",,,,,"8.5","STANDARD","0"
"EdmundOptics","15-477","4",,"0",,,,,"0.06023521545985666","STANDARD","0"
"EdmundOptics","16-046","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","16-046","1","56.43","4.2","CAF2","MISC",,,"12.7","STANDARD","1"
"EdmundOptics","16-046","2","-41.09","1.2",,,,,"12.7","STANDARD","0"
"EdmundOptics","16-046","3","-39.46","2.1","SAPPHIRE","MISC",,,"11.2","STANDARD","0"
"EdmundOptics","16-046","4","-69.15","96.21565408160062",,,,,"12.7","STANDARD","0"
"EdmundOptics","16-046","5",,"0",,,,,"14","STANDARD","0"
"EdmundOptics","16-684","0",,,,,,,,"Standard","0"
"EdmundOptics","16-684","1",,"0",,,,,"1.35","Standard","1"
"EdmundOptics","16-684","2","1.753357816548469","1.90968132163","H-FK61",,"-0.6087963372859","[{""order"":3,""value"":0.001892528623368},{""order"":4,""value"":0.000161432907061}]","1.35","EvenAsphere","0"
"EdmundOptics","16-684","3",,"1.69101763993",,,,,"1.35","Standard","0"
"EdmundOptics","16-684","4",,"0.25","BK7",,,,"0.23479383847167268","Standard","0"
"EdmundOptics","16-684","5",,"0.39",,,,,"0.16639292499025074","Standard","0"
"EdmundOptics","16-684","6",,"0",,,,,"0.004453669853773906","Standard","0"
"EdmundOptics","16-687","0",,,,,,,,"Standard","0"
"EdmundOptics","16-687","1",,"0",,,,,"2.1","Standard","1"
"EdmundOptics","16-687","2","3.5449722267913906","3.272289313303","D-ZLAF52LA_M",,"-0.9913720998802","[{""order"":3,""value"":0.001369151876378},{""order"":4,""value"":1.310843827421E-05},{""order"":5,""value"":-2.547332954432E-07},{""order"":6,""value"":-3.967322202614E-08}]","2.1","EvenAsphere","0"
"EdmundOptics","16-687","3",,"1.882606837999",,,,,"2.1","Standard","0"
"EdmundOptics","16-687","4",,"1.2","POLYCARB",,,,"0.5","Standard","0"
"EdmundOptics","16-687","5",,"0",,,,,"0.5","Standard","0"
"EdmundOptics","16-687","6",,"0",,,,,"9.60953387252328E-07","Standard","0"
"EdmundOptics","16-689","0",,,,,,,,"Standard","0"
"EdmundOptics","16-689","1",,"0",,,,,"2.2499999999917986","Standard","1"
"EdmundOptics","16-689","2","8.767856472256408","2.921932929444","D-ZK3M",,"-0.5782378571752","[{""order"":4,""value"":-8.484208957997E-08},{""order"":5,""value"":-7.465801579386E-10}]","2.2499999999917986","EvenAsphere","0"
"EdmundOptics","16-689","3",,"13.194151813757044",,,,,"2.2499999999917986","Standard","0"
"EdmundOptics","16-689","4",,"0",,,,,"2.0125070054888283E-08","Standard","0"
"EdmundOptics","16-691","0",,,,,,,,"Standard","0"
"EdmundOptics","16-691","1",,"0",,,,,"3.5","Standard","1"
"EdmundOptics","16-691","2","3.9444805254867785","4.076329831011","D-ZK3M",,"-1.005734945741","[{""order"":3,""value"":0.0009875620577343},{""order"":4,""value"":1.147227414685E-05},{""order"":5,""value"":9.711770061129E-08},{""order"":6,""value"":1.550717714586E-09},{""order"":7,""value"":-1.199812156501E-10}]","3.5","EvenAsphere","0"
"EdmundOptics","16-691","3",,"3.622155308799",,,,,"3.5","Standard","0"
"EdmundOptics","16-691","4",,"0.25","BK7",,,,"0.5","Standard","0"
"EdmundOptics","16-691","5",,"0.39",,,,,"0.5","Standard","0"
"EdmundOptics","16-691","6",,"0",,,,,"3.023663578627378E-06","Standard","0"
"EdmundOptics","16-701","0",,,,,,,,"Standard","0"
"EdmundOptics","16-701","1",,"0",,,,,"2.3","Standard","1"
"EdmundOptics","16-701","2","3.4164191","3.7","D-ZLAF52LA_M",,"-0.59263193",,"2.3","Standard","0"
"EdmundOptics","16-701","3",,"1.560414",,,,,"2.3","Standard","0"
"EdmundOptics","16-701","4",,"0.25","BK7",,,,"0.5","Standard","0"
"EdmundOptics","16-701","5",,"0.39",,,,,"0.5","Standard","0"
"EdmundOptics","16-701","6",,"0",,,,,"0.010019271209628117","Standard","0"
"EdmundOptics","16-704","0",,,,,,,,"Standard","0"
